,P1Cost,P2Cost,E[c1-c2]
0,0.03019347927964116,0.05514237855946399,-0.024948899279822828
1,0.030484883968490525,0.056150441305096874,-0.02566555733660635
2,0.03123883145591486,0.055241665550943904,-0.024002834095029044
3,0.028829529157898968,0.05571906087280766,-0.026889531714908693
4,0.03251278518243727,0.05601557395629159,-0.023502788773854318
5,0.03164861612515042,0.05630606720101916,-0.02465745107586874
6,0.03064800941780822,0.058542238324852815,-0.027894228907044596
7,0.029580075763681792,0.055472603652846286,-0.025892527889164494
8,0.030932798395185555,0.05707437246154871,-0.026141574066363152
9,0.030327140602829827,0.05474290481893663,-0.024415764216106802
10,0.03017755443886097,0.05832776813142781,-0.028150213692566838
11,0.02959414504324684,0.053884460821617866,-0.024290315778371027
12,0.03148236668791162,0.05754984239296687,-0.02606747570505525
13,0.03034705192451221,0.055915959207645895,-0.025568907283133685
14,0.030126426971087167,0.05642838090157375,-0.026301953930486587
15,0.030743238748985647,0.056799818368791485,-0.02605657961980584
16,0.03131212060569675,0.05539951314768745,-0.0240873925419907
17,0.031614197817969196,0.055362861964943055,-0.02374866414697386
18,0.03147796276857253,0.05481521085343848,-0.023337248084865952
19,0.03176139954549733,0.05686154174560397,-0.02510014220010664
20,0.02990990990990991,0.05696715323619652,-0.02705724332628661
21,0.031453059597368944,0.055990681608225894,-0.02453762201085695
22,0.031830555739990704,0.054772663278851184,-0.02294210753886048
23,0.031040424121935056,0.05448832677087062,-0.023447902648935565
24,0.030767388962049565,0.0547112462006079,-0.02394385723855834
25,0.03166662231565502,0.05782697086062796,-0.02616034854497294
26,0.029627845357099843,0.05736570302933504,-0.025184966601792164
27,0.03140651778241288,0.05595298247480254,-0.025732488485149925
28,0.029049590652677842,0.05654809379486361,-0.024637444718434404
29,0.02938965119089176,0.056290417401528514,0.0005475218833577607
