,P1Cost,P2Cost,E[c1-c2]
0,0.04704894209873745,0.05654993857574997,-0.009500996477012517
1,0.04884004884004884,0.055627837816308645,-0.006787788976259805
2,0.04577525841947316,0.05727872902857295,-0.011503470609099793
3,0.04789577031258292,0.05589057799101404,-0.007994807678431116
4,0.04622939039482614,0.055000398649905656,-0.008771008255079517
5,0.04561417564662367,0.05370109317232758,-0.00808691752570391
6,0.047234961604095564,0.05223640026863667,-0.005001438664541107
7,0.04538826834325463,0.058013372302518317,-0.012625103959263688
8,0.045568606513614524,0.0559452683239091,-0.010376661810294577
9,0.047157425703184055,0.05594620608523608,-0.008788780382052025
10,0.04636161253118043,0.05648751788837653,-0.010125905357196104
11,0.04630385062928832,0.05691229279022619,-0.01060844216093787
12,0.04514349371386133,0.055225035349358374,-0.010081541635497043
13,0.04830022663644847,0.05747462013137814,-0.00917439349492967
14,0.04480078911238187,0.056549128473427114,-0.011748339361045246
15,0.04692524249823213,0.05522340255164682,-0.008298160053414695
16,0.046307465487200106,0.05333924349881797,-0.007031778011617862
17,0.047345882415720596,0.05757567696972921,-0.010229794554008617
18,0.04735494880546075,0.05590659524159397,-0.008551646436133223
19,0.04606692163159788,0.05492946435741628,-0.0088625427258184
20,0.04803260782694408,0.05705561555795565,-0.00902300773101157
21,0.046789222527947254,0.05492895854694595,-0.008139736018998693
22,0.04738283951274004,0.05295592786255469,-0.005573088349814646
23,0.04512673949624723,0.057571948395633475,-0.012445208899386245
24,0.04680231003689642,0.05604604980678403,-0.009243739769887606
25,0.04553171579439877,0.05480805168455337,-0.0092763358901546
26,0.04792993630573249,0.056537853527637925,-0.009148101337984237
27,0.046771998185166405,0.05292248538089771,-0.009865173758888134
28,0.04617600768266333,0.05563691553946107,-0.008431028917080339
29,0.045841720097575284,0.055412647374062166,0.0007170724209038977
